Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Fiske, A.P., Kitayama, S., Markus, H.R., Nisbett, R.E.","","The cultural matrix of social psychology",1998,"The Handbook of Social Psychology","2",,,"915","981",,660,,,Article,"Final",,Scopus,2-s2.0-0000658307
"Oppenheimer, V.K.","","A theory of marriage timing",1988,"American Journal of Sociology","94","3",,"563","591",,658,,,Article,"Final",,Scopus,2-s2.0-84936129899
"Card, D., Krueger, A.B.","7006709011;7102925200;","Myth and Measurement: The New Economics of the Minimum Wage",2015,"Myth and Measurement: The New Economics of the Minimum Wage",,,,"1","422",,653,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981212439&partnerID=40&md5=ca74169908c97c0687b7edb93a2f2307",Book,"Final",,Scopus,2-s2.0-84981212439
"Kernis, M.H.","7004323813;","Toward a conceptualization of optimal self-esteem",2003,"Psychological Inquiry","14","1",,"1","26",,646,"10.1207/S15327965PLI1401_01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042656818&doi=10.1207%2fS15327965PLI1401_01&partnerID=40&md5=6e0f04b02e04132035ca275a80c48f6b",Review,"Final",,Scopus,2-s2.0-0042656818
"Simon, H.A.","","Organizations and markets",1991,"Journal of Economic Perspectives","5","2",,"25","44",,646,,,Article,"Final",,Scopus,2-s2.0-0003129328
"Ditto, P.H., Lopez, D.F.","7003936520;7201719552;","Motivated Skepticism: Use of Differential Decision Criteria for Preferred and Nonpreferred Conclusions",1992,"Journal of Personality and Social Psychology","63","4",,"568","584",,640,"10.1037/0022-3514.63.4.568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149206254&doi=10.1037%2f0022-3514.63.4.568&partnerID=40&md5=6fc37c3113f7db2ad3a13c8fbb9bc85b",Article,"Final",,Scopus,2-s2.0-58149206254
"Viscusi, W.K.","","The value of risks to life and health",1993,"Journal of Economic Literature","31","4",,"1912","1946",,629,,,Article,"Final",,Scopus,2-s2.0-0001079784
"Chandra, A., Martinez, G.M., Mosher, W.D., Abma, J.C., Jones, J.","7201668862;7201760754;7006030822;6602148942;7406479246;","Fertility, family planning, and reproductive health of U.S. Women: Data from the 2002 national survey of family growth",2005,"Vital and Health Statistics, Series 23: Data from the National Survey of Family Growth","23","25",,"","",,622,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748117147&partnerID=40&md5=2a3a6efcc33336693501069cfeee96cf",Article,"Final",,Scopus,2-s2.0-33748117147
"Ehrenberg, R.G., Smith, R.S.","",[No title available],1994,"Modern Labor Economics: Theory and Public Policy",,,,"","",,621,,,Article,"Final",,Scopus,2-s2.0-0003718544
"Moffitt, R.","","Incentive effects of the U.S. welfare system: A review",1992,"Journal of Economic Literature","30","1",,"1","61",,616,,,Article,"Final",,Scopus,2-s2.0-0002590977
"Edelman, M.","",[No title available],1977,"Political Language: Words That Succeed and Policies That Fail",,,,"","",,604,,,Article,"Final",,Scopus,2-s2.0-0003611248
"Hamermesh, D.S., Biddle, J.E.","","Beauty and the labor market",1994,"American Economic Review","84","5",,"1174","1194",,599,,,Article,"Final",,Scopus,2-s2.0-0000715716
"Gneezy, U., Niederle, M., Rustichini, A.","6701455596;6603258903;6604089584;","Performance in competitive environments: Gender differences",2003,"Quarterly Journal of Economics","118","3",,"1049","1074",,586,"10.1162/00335530360698496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041360374&doi=10.1162%2f00335530360698496&partnerID=40&md5=aaf01c78c19a893eb96e42f65ce1093c",Review,"Final",,Scopus,2-s2.0-0041360374
"Neal, D.A., Johnson, W.R.","7201588970;24343962700;","The role of premarket factors in black-white wage differences",1996,"Journal of Political Economy","104","5",,"869","895",,584,"10.1086/262045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030430296&doi=10.1086%2f262045&partnerID=40&md5=529948206b9e2e4bc9183ee8b98974cf",Article,"Final",,Scopus,2-s2.0-0030430296
"Blanchflower, D.G., Oswald, A.J.","","The Wage Curve",1994,"The Wage Curve",,,,"","",,579,,,Article,"Final",,Scopus,2-s2.0-0003790384
"Shaver, K.G.","","The attribution of blame: Causality, responsibility, and blameworthiness",1985,"The Attribution of Blame: Causality, Responsibility, and Blameworthiness",,,,"","",,575,,,Article,"Final",,Scopus,2-s2.0-0003437060
"Goleman, D.","",[No title available],2006,"Social Intelligence: The New Science of Human Relationships",,,,"","",,566,,,Article,"Final",,Scopus,2-s2.0-33847627272
"McLanahan, S.","7003850605;","Diverging destinies: How children are faring under the second demographic transition",2004,"Demography","41","4",,"607","627",,560,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-11944263890&partnerID=40&md5=7800a3534730eb14f2a7819c822fc4a3",Article,"Final",,Scopus,2-s2.0-11944263890
"Neumark, D.","","Employers' discriminatory behavior and the estimation of wage discrimination",1988,"Journal of Human Resources","23","3",,"279","295",,560,,,Article,"Final",,Scopus,2-s2.0-0000037483
"Buehler, R., Griffin, D., Ross, M.","57193977544;35320020000;7403662124;","Exploring the ""Planning Fallacy"": Why People Underestimate Their Task Completion Times",1994,"Journal of Personality and Social Psychology","67","3",,"366","381",,557,"10.1037/0022-3514.67.3.366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21844497186&doi=10.1037%2f0022-3514.67.3.366&partnerID=40&md5=ee1cbf1c23c23f8735c1286c0df5b05e",Article,"Final",,Scopus,2-s2.0-21844497186
"Krueger, A.B.","7102925200;","How computers have changed the wage structure: Evidence from microdata, 1984–1989",1993,"Quarterly Journal of Economics","108","1",,"33","60",,539,"10.2307/2118494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960610295&doi=10.2307%2f2118494&partnerID=40&md5=2b49211d5d85f324f6f3c6b14224675a",Article,"Final",,Scopus,2-s2.0-84960610295
"Adams, M., Bell, L.A., Griffin, P.","",[No title available],1997,"Teaching for Diversity and Social Justice: A Sourcebook",,,,"","",,529,,,Article,"Final",,Scopus,2-s2.0-0003955477
"Smith, J.P., Edmonston, B.","",[No title available],1997,"The New Americans: Economic, Demographic, and Fiscal Effects of Immigration",,,,"","",,521,,,Article,"Final",,Scopus,2-s2.0-0003626801
"Akerlof, G.A., Yellen, J.L.","",[No title available],1986,"Efficiency Wage Models of the Labor Market",,,,"","",,517,,,Article,"Final",,Scopus,2-s2.0-0003871327
"Tetlock, P.E., Kristel, O.V., Elson, S.B., Green, M.C., Lerner, J.S.","7004674985;6505956009;7003406692;8768847400;7101861953;","The psychology of the unthinkable: Taboo trade-offs, forbidden base rates, and heretical counterfactuals",2000,"Journal of Personality and Social Psychology","78","5",,"853","870",,516,"10.1037/0022-3514.78.5.853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034185445&doi=10.1037%2f0022-3514.78.5.853&partnerID=40&md5=0345ea1f1eb617fa50f65591d104edde",Article,"Final",,Scopus,2-s2.0-0034185445
"Borjas, G.J.","",[No title available],1990,"Friends or Strangers: The Impact of Immigrants on the U.S. Economy",,,,"","",,513,,,Article,"Final",,Scopus,2-s2.0-0003729560
"Joppke, C.","",[No title available],1999,"Immigration and the Nation-State: The United States, Germany, and Great Britain",,,,"","",,507,,,Article,"Final",,Scopus,2-s2.0-0003956694
"Acemoglu, D., Autor, D.","7003483273;6602634280;","Skills, tasks and technologies: Implications for employment and earnings",2011,"Handbook of Labor Economics","4","PART B",,"1043","1171",,503,"10.1016/S0169-7218(11)02410-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953156776&doi=10.1016%2fS0169-7218%2811%2902410-5&partnerID=40&md5=2537e082e61bdb96918d94965b20ac6d",Book,"Final",,Scopus,2-s2.0-79953156776
"Aigner, D.J., Cain, G.G.","","Statistical theories of discrimination in labor markets",1977,"Industrial and Labor Relations Review","30","2",,"175","187",,502,,,Article,"Final",,Scopus,2-s2.0-71149107609
"Bentolila, S.","7003523362;","Firing costs and labour demand: How bad is eurosclerosis?",1990,"Review of Economic Studies","57","3",,"381","402",,501,"10.2307/2298020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959805365&doi=10.2307%2f2298020&partnerID=40&md5=6ff4fb5b21ec305d46f0a71de0ebe46e",Article,"Final",,Scopus,2-s2.0-84959805365
"Linder, S.B.","",[No title available],1970,"The Harried Leisure Class",,,,"","",,501,,,Article,"Final",,Scopus,2-s2.0-0004103770
"Arrow, K.J.","55284298800;","The theory of discrimination",2015,"Discrimination in Labor Markets",,,,"3","33",,499,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027797376&partnerID=40&md5=0db7babfa7eb83f69607b9a2d449e61a",Book Chapter,"Final",,Scopus,2-s2.0-85027797376
"Xie, Y., Shauman, K.A.","",[No title available],2003,"Women in Science: Career Processes and Outcomes",,,,"","",,490,,,Article,"Final",,Scopus,2-s2.0-3343017400
"Cornelius, W.A., Martin, P.L., Hollifield, J.F.","",[No title available],1994,"Controlling Immigration: A Global Perspective",,,,"","",,490,,,Article,"Final",,Scopus,2-s2.0-0003777383
"National Science Foundation","",[No title available],2015,"Women, Minorities, and Persons with Disabilities in Science and Engineering",,,,"","",,482,,,Article,"Final",,Scopus,2-s2.0-3242656174
"Stone, R.","","Linear expenditure systems and demand analysis: An application to the pattern of British demand",1954,"Economic Journal","64","255",,"511","527",,482,,,Article,"Final",,Scopus,2-s2.0-0000170569
"McCloskey, D.N.","","The rhetoric of economics",1983,"Journal of Economic Literature","21","2",,"481","517",,480,,,Article,"Final",,Scopus,2-s2.0-0000395218
"Schultz, T.W.","",[No title available],1963,"The Economic Value of Education",,,,"","",,476,,,Article,"Final",,Scopus,2-s2.0-0004268236
"Uggen, C.","6603861075;","Work as a turning point in the life course of criminals: A duration model of age, employment, and recidivism",2000,"American Sociological Review","65","4",,"529","546",,472,"10.2307/2657381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033789857&doi=10.2307%2f2657381&partnerID=40&md5=cc04b51c6b7a9ece32663fc2bec83a59",Article,"Final",,Scopus,2-s2.0-0033789857
"Goldin, C., Rouse, C.","6701799144;7003560463;","Orchestrating impartiality: The impact of ""blind"" auditions on female musicians",2000,"American Economic Review","90","4",,"715","741",,472,"10.1257/aer.90.4.715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000590932&doi=10.1257%2faer.90.4.715&partnerID=40&md5=3d42e6650e28adce9855360dbdea4be6",Article,"Final",,Scopus,2-s2.0-0000590932
"Ridgeway, C.L.","7004190680;","Framed by Gender: How Gender Inequality Persists in the Modern World",2011,"Framed by Gender: How Gender Inequality Persists in the Modern World",,,,"1","248",,471,"10.1093/acprof:oso/9780199755776.001.0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910051815&doi=10.1093%2facprof%3aoso%2f9780199755776.001.0001&partnerID=40&md5=07644d62b8618902543e14b11c74e0c6",Book,"Final",,Scopus,2-s2.0-84910051815
"Shklar, J.","",[No title available],1984,"Ordinary Vices",,,,"","",,470,,,Article,"Final",,Scopus,2-s2.0-0004027519
"Epley, N., Keysar, B., Van Boven, L., Gilovich, T.","6603845858;6701682795;6602076925;7003593314;","Perspective taking as egocentric anchoring and adjustment",2004,"Journal of Personality and Social Psychology","87","3",,"327","339",,467,"10.1037/0022-3514.87.3.327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344589131&doi=10.1037%2f0022-3514.87.3.327&partnerID=40&md5=aa4e86f2b65167647a1a1f4fb345860d",Article,"Final",,Scopus,2-s2.0-4344589131
"Lazear, E.P.","6603061257;","Job security provisions and employment",1990,"Quarterly Journal of Economics","105","3",,"699","726",,460,"10.2307/2937895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025621039&doi=10.2307%2f2937895&partnerID=40&md5=bbaa00bb9593efb13737d9774470d3fa",Article,"Final",,Scopus,2-s2.0-0025621039
"Hastorf, A.H., Cantril, H.","6508147882;23084862100;","They saw a game; a case study",1954,"Journal of Abnormal and Social Psychology","49","1",,"129","134",,460,"10.1037/h0057880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248977585&doi=10.1037%2fh0057880&partnerID=40&md5=9a13e05fa268887a9cad628786d5396a",Article,"Final",,Scopus,2-s2.0-34248977585
"Killingsworth, M.R.","",[No title available],1983,"Labor Supply",,,,"","",,458,,,Article,"Final",,Scopus,2-s2.0-0004011270
"Westphal, J.D., Zajac, E.J.","","Substance and symbolism in CEOs' long-term incentive plans",1994,"Administrative Science Quarterly","39","3",,"367","390",,436,,,Article,"Final",,Scopus,2-s2.0-67349260970
"Crenshaw, K.W.","","Race, reform, and retrenchment: Transformation and legitimation in antidiscrimination law",1988,"Harvard Law Review","101","7",,"1331","1387",,431,,,Article,"Final",,Scopus,2-s2.0-84935413026
"Loftus, J.","7006235195;","America's liberalization in attitudes toward homosexuality, 1973 to 1998",2001,"American Sociological Review","66","5",,"762","782",,430,"10.2307/3088957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035198349&doi=10.2307%2f3088957&partnerID=40&md5=5dec0a73db5c26560045916911eea50d",Article,"Final",,Scopus,2-s2.0-0035198349
"Bobo, L., Kluegel, J.R.","","Opposition to race-targeting: Self-interest, stratification ideology, or racial attitudes?",1993,"American Sociological Review","58","4",,"443","464",,430,,,Article,"Final",,Scopus,2-s2.0-84883898846
"Polachek, S.W.","","Occupational self-selection: A human capital approach to sex differences in occupational structure",1981,"Review of Economics and Statistics","63","1",,"60","69",,429,,,Article,"Final",,Scopus,2-s2.0-0001868058
"Goldberg, P.K., Pavcnik, N.","56243126500;6602363531;","Distributional effects of globalization in developing countries",2007,"Journal of Economic Literature","45","1",,"39","82",,424,"10.1257/jel.45.1.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249694157&doi=10.1257%2fjel.45.1.39&partnerID=40&md5=dc7e7983a2bcc50e7a662f917fd070be",Review,"Final",,Scopus,2-s2.0-34249694157
[No author name available],[No author id available],[No title available],2010,"Sickness, Disability and Work: Breaking the Barriers: A Synthesis of Findings Across OECD Countries",,,,"","",,422,,,Article,"Final",,Scopus,2-s2.0-79953296273
"Alicke, M.D.","6603351105;","Culpable control and the psychology of blame",2000,"Psychological Bulletin","126","4",,"556","574",,421,"10.1037/0033-2909.126.4.556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034218583&doi=10.1037%2f0033-2909.126.4.556&partnerID=40&md5=541e7e6f87ebe9b23090cc6b9a6be746",Article,"Final",,Scopus,2-s2.0-0034218583
"Gerson, K.","",[No title available],1985,"Hard Choices: How Women Decide about Work, Career, and Motherhood",,,,"","",,418,,,Article,"Final",,Scopus,2-s2.0-0003536899
"Gruber, J.","7101971287;","The incidence of mandated maternity benefits.",1994,"American Economic Review","84","3",,"622","641",,411,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028451448&partnerID=40&md5=4d9d0ee4416f90b48db76b3ef28d3f3e",Article,"Final",,Scopus,2-s2.0-0028451448
"Pahl, J.","",[No title available],1989,"Money and Marriage",,,,"","",,406,,,Article,"Final",,Scopus,2-s2.0-0004285381
"Mincer, J.","","Labor force participation of married women: A study of labor supply",1962,"Aspects of Labor Economics",,,,"63","97",,405,,,Article,"Final",,Scopus,2-s2.0-0002521892
"Blank, R.M.","7101662421;","Evaluating welfare reform in the United States",2002,"Journal of Economic Literature","40","4",,"1105","1166",,399,"10.1257/.40.4.1105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040079689&doi=10.1257%2f.40.4.1105&partnerID=40&md5=a4705d8756789b79b9481dbbdc9371f6",Article,"Final",,Scopus,2-s2.0-0040079689
"Rosen, S.","7401609511;","The theory of equalizing differences",1986,"Handbook of Labor Economics","1","C",,"641","692",,399,"10.1016/S1573-4463(86)01015-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845685278&doi=10.1016%2fS1573-4463%2886%2901015-5&partnerID=40&md5=1fe1b7408f770a801e8f460fa22c832d",Review,"Final",,Scopus,2-s2.0-33845685278
"Charles, M., Grusky, D.B.","",[No title available],2004,"Occupational Ghettos: The Worldwide Segregation of Women and Men",,,,"","",,398,,,Article,"Final",,Scopus,2-s2.0-0345103602
"Batson, C.D.","7003693080;","Altruism in Humans",2011,"Altruism in Humans",,,,"1","336",,395,"10.1093/acprof:oso/9780195341065.001.0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861802494&doi=10.1093%2facprof%3aoso%2f9780195341065.001.0001&partnerID=40&md5=bc2ae897421d969a198485cb4c1fa74d",Book,"Final",,Scopus,2-s2.0-84861802494
"Hyde, J.S., Lindberg, S.M., Linn, M.C., Ellis, A.B., Williams, C.C.","7202836355;12787039900;7006538185;8290288600;56285010200;","Diversity: Gender similarities characterize math performance",2008,"Science","321","5888",,"494","495",,390,"10.1126/science.1160364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48249149914&doi=10.1126%2fscience.1160364&partnerID=40&md5=7a7eee057ae0a3e32abe862487cf7566",Short Survey,"Final",,Scopus,2-s2.0-48249149914
"Westphal, J.D., Zajac, E.J.","7102318987;7003447304;","The symbolic management of stockholders: Corporate governance reforms and shareholder reactions",1998,"Administrative Science Quarterly","43","1",,"127","153",,389,"10.2307/2393593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032220361&doi=10.2307%2f2393593&partnerID=40&md5=4d885c54bca8fc9928c36acbc4502249",Article,"Final",,Scopus,2-s2.0-0032220361
